Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
hll0_mpc_stats	[181,899, 17,753,385]	[-82%, 1675%]	0.385	0.385	0.000	0.070	0.200	0.000	0.070	0.200
hll0_mpc_shuffle_stats	[181,899, 17,753,385]	[-82%, 1675%]	0.385	0.385	0.000	0.070	0.200	0.000	0.070	0.200
hll1_stats	[206,887, 11,581,296]	[-79%, 1058%]	0.000	0.000	2.590	10.42	23.06	2.590	10.42	23.06
hll1_shuffle_stats	[206,887, 11,581,296]	[-79%, 1058%]	0.000	0.000	1.350	5.400	12.15	2.590	10.42	23.06
hll1_rehashed_stats	[206,887, 11,581,296]	[-79%, 1058%]	0.105	0.947	0.000	0.000	0.000	2.590	10.42	23.06
hll1_mask_stats	[109,175, 1,273,729]	[-89%, 27%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_stats	[206,887, 11,581,296]	[-79%, 1058%]	0.679	0.679	0.000	0.110	0.390	0.000	0.110	0.390
hll1_mpc_shuffle_stats	[206,887, 11,581,296]	[-79%, 1058%]	0.679	0.679	0.000	0.070	0.200	0.000	0.110	0.390
hll4_stats	[538,869, 1,713,823]	[-46%, 71%]	0.001	0.001	21.46	85.42	186.3	21.46	85.42	186.3
hll4_shuffle_stats	[538,869, 1,713,823]	[-46%, 71%]	0.001	0.001	1.350	5.490	12.41	21.46	85.42	186.3
hll4_rehashed_stats	[538,869, 1,713,823]	[-46%, 71%]	0.105	0.943	0.000	0.000	0.000	21.46	85.42	186.3
hll4_mask_stats	[90,644, 1,892,176]	[-91%, 89%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_stats	[538,869, 1,713,823]	[-46%, 71%]	4.754	4.754	0.060	0.750	1.910	0.060	0.750	1.910
hll4_mpc_shuffle_stats	[538,869, 1,713,823]	[-46%, 71%]	4.754	4.754	0.000	0.070	0.200	0.060	0.750	1.910
hll7_stats	[837,269, 1,158,432]	[-16%, 16%]	0.006	0.006	175.2	691.0	1,508	175.2	691.0	1,508
hll7_shuffle_stats	[837,269, 1,158,432]	[-16%, 16%]	0.006	0.006	1.350	5.490	12.48	175.2	691.0	1,508
hll7_rehashed_stats	[837,269, 1,158,432]	[-16%, 16%]	0.111	0.955	0.000	0.000	0.000	175.2	691.0	1,508
hll7_mask_stats	[90,222, 1,940,247]	[-91%, 94%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_stats	[837,269, 1,158,432]	[-16%, 16%]	37.39	37.39	0.490	5.720	14.71	0.490	5.720	14.71
hll7_mpc_shuffle_stats	[837,269, 1,158,432]	[-16%, 16%]	37.39	37.39	0.000	0.070	0.200	0.490	5.720	14.71
hll15_stats	[987,401, 1,011,968]	[-1%, 1%]	1.379	1.379	45,272	171,742	348,258	45,272	171,742	348,258
hll15_shuffle_stats	[987,401, 1,011,968]	[-1%, 1%]	1.379	1.379	1.350	5.490	12.50	45,272	171,742	348,258
hll15_rehashed_stats	[987,401, 1,011,968]	[-1%, 1%]	1.652	2.537	0.000	0.000	0.000	45,272	171,742	348,258
hll15_mask_stats	[90,222, 1,940,247]	[-91%, 94%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
all_stats	[1,000,000, 1,000,000]	[0%, 0%]	0.071	0.071	1,917,817	1,917,817	1,917,817	1,917,817	1,917,817	1,917,817
all_rehashed_stats	[1,000,000, 1,000,000]	[0%, 0%]	0.097	0.302	0.000	0.000	0.000	1,917,817	1,917,817	1,917,817
Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
agg_stats	[902,793, 19,402,938]	[-91%, 94%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mask_stats	[902,793, 19,402,938]	[-91%, 94%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mpc_stats	[18,884,586, 19,402,938]	[89%, 94%]	0.105	0.105	0.000	0.000	0.000	0.000	0.000	0.000
hll0_stats	[1,455,196, 71,013,541]	[-85%, 610%]	0.000	0.000	12.72	41.58	70.06	12.72	41.58	70.06
hll0_shuffle_stats	[1,455,196, 71,013,541]	[-85%, 610%]	0.000	0.000	12.72	41.58	70.06	12.72	41.58	70.06
hll0_rehashed_stats	[1,455,196, 71,013,541]	[-85%, 610%]	1.032	9.685	0.000	0.000	0.000	12.72	41.58	70.06
hll0_mask_stats	[734,987, 17,239,998]	[-93%, 72%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_stats	[1,455,196, 71,013,541]	[-85%, 610%]	0.383	0.383	0.020	0.340	1.150	0.020	0.340	1.150
hll0_mpc_shuffle_stats	[1,455,196, 71,013,541]	[-85%, 610%]	0.383	0.383	0.020	0.340	1.150	0.020	0.340	1.150
hll1_stats	[2,215,613, 41,923,242]	[-78%, 319%]	0.000	0.000	25.47	84.40	140.8	25.47	84.40	140.8
hll1_shuffle_stats	[2,215,613, 41,923,242]	[-78%, 319%]	0.000	0.000	13.41	48.00	92.64	25.47	84.40	140.8
hll1_rehashed_stats	[2,215,613, 41,923,242]	[-78%, 319%]	1.033	9.483	0.000	0.000	0.000	25.47	84.40	140.8
hll1_mask_stats	[887,447, 18,931,827]	[-91%, 89%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_stats	[2,215,613, 41,923,242]	[-78%, 319%]	0.675	0.675	0.090	0.860	2.300	0.090	0.860	2.300
hll1_mpc_shuffle_stats	[2,215,613, 41,923,242]	[-78%, 319%]	0.675	0.675	0.020	0.340	1.170	0.090	0.860	2.300
hll4_stats	[6,171,672, 16,428,565]	[-38%, 64%]	0.001	0.001	206.0	671.3	1,123	206.0	671.3	1,123
hll4_shuffle_stats	[6,171,672, 16,428,565]	[-38%, 64%]	0.001	0.001	13.81	55.01	122.0	206.0	671.3	1,123
hll4_rehashed_stats	[6,171,672, 16,428,565]	[-38%, 64%]	1.035	9.495	0.000	0.000	0.000	206.0	671.3	1,123
hll4_mask_stats	[902,793, 19,402,938]	[-91%, 94%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_stats	[6,171,672, 16,428,565]	[-38%, 64%]	4.755	4.755	0.930	7.440	18.33	0.930	7.440	18.33
hll4_mpc_shuffle_stats	[6,171,672, 16,428,565]	[-38%, 64%]	4.755	4.755	0.020	0.340	1.180	0.930	7.440	18.33
hll7_stats	[8,352,290, 12,307,282]	[-16%, 23%]	0.006	0.006	1,644	5,354	8,947	1,644	5,354	8,947
hll7_shuffle_stats	[8,352,290, 12,307,282]	[-16%, 23%]	0.006	0.006	13.87	55.86	126.3	1,644	5,354	8,947
hll7_rehashed_stats	[8,352,290, 12,307,282]	[-16%, 23%]	1.043	9.496	0.000	0.000	0.000	1,644	5,354	8,947
hll7_mask_stats	[902,793, 19,402,938]	[-91%, 94%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_stats	[8,352,290, 12,307,282]	[-16%, 23%]	37.41	37.41	6.320	56.69	143.6	6.320	56.69	143.6
hll7_mpc_shuffle_stats	[8,352,290, 12,307,282]	[-16%, 23%]	37.41	37.41	0.020	0.340	1.180	6.320	56.69	143.6
hll15_stats	[9,887,923, 10,123,720]	[-1%, 1%]	1.392	1.392	416,160	1,329,538	2,127,583	416,160	1,329,538	2,127,583
hll15_shuffle_stats	[9,887,923, 10,123,720]	[-1%, 1%]	1.392	1.392	13.91	56.00	127.0	416,160	1,329,538	2,127,583
hll15_rehashed_stats	[9,887,923, 10,123,720]	[-1%, 1%]	2.641	11.55	0.000	0.000	0.000	416,160	1,329,538	2,127,583
hll15_mask_stats	[902,793, 19,402,938]	[-91%, 94%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
all_stats	[10,000,000, 10,000,000]	[0%, 0%]	0.794	0.794	19,178,114	19,178,114	19,178,114	19,178,114	19,178,114	19,178,114
all_rehashed_stats	[10,000,000, 10,000,000]	[0%, 0%]	1.045	3.090	0.000	0.000	0.000	19,178,114	19,178,114	19,178,114
Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
agg_stats	[9,431,902, 200,018,431]	[-91%, 100%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mask_stats	[9,431,902, 200,018,431]	[-91%, 100%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mpc_stats	[199,984,637, 200,018,431]	[100%, 100%]	0.171	0.171	0.000	0.000	0.000	0.000	0.000	0.000
hll0_stats	[11,641,564, 818,287,824]	[-88%, 718%]	0.000	0.000	70.13	98.30	99.97	70.13	98.30	99.97
hll0_shuffle_stats	[11,641,564, 818,287,824]	[-88%, 718%]	0.000	0.000	70.13	98.30	99.97	70.13	98.30	99.97
hll0_rehashed_stats	[11,641,564, 818,287,824]	[-88%, 718%]	9.420	84.36	0.000	0.000	0.000	70.13	98.30	99.97
hll0_mask_stats	[9,431,902, 200,018,431]	[-91%, 100%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll0_mpc_stats	[11,641,564, 818,287,824]	[-88%, 718%]	0.387	0.387	0.370	4.350	9.910	0.370	4.350	9.910
hll0_mpc_shuffle_stats	[11,641,564, 818,287,824]	[-88%, 718%]	0.387	0.387	0.370	4.350	9.910	0.370	4.350	9.910
hll1_stats	[22,952,975, 448,641,535]	[-77%, 349%]	0.000	0.000	141.3	196.5	199.9	141.3	196.5	199.9
hll1_shuffle_stats	[22,952,975, 448,641,535]	[-77%, 349%]	0.000	0.000	93.84	181.8	198.5	141.3	196.5	199.9
hll1_rehashed_stats	[22,952,975, 448,641,535]	[-77%, 349%]	9.420	84.36	0.000	0.000	0.000	141.3	196.5	199.9
hll1_mask_stats	[9,431,902, 200,018,431]	[-91%, 100%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_stats	[22,952,975, 448,641,535]	[-77%, 349%]	0.681	0.681	0.830	8.980	19.82	0.830	8.980	19.82
hll1_mpc_shuffle_stats	[22,952,975, 448,641,535]	[-77%, 349%]	0.681	0.681	0.380	4.520	10.75	0.830	8.980	19.82
hll4_stats	[57,717,266, 167,663,627]	[-42%, 68%]	0.001	0.001	1,124	1,570	1,599	1,124	1,570	1,599
hll4_shuffle_stats	[57,717,266, 167,663,627]	[-42%, 68%]	0.001	0.001	132.4	466.8	854.1	1,124	1,570	1,599
hll4_rehashed_stats	[57,717,266, 167,663,627]	[-42%, 68%]	9.422	84.36	0.000	0.000	0.000	1,124	1,570	1,599
hll4_mask_stats	[9,431,902, 200,018,431]	[-91%, 100%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_stats	[57,717,266, 167,663,627]	[-42%, 68%]	4.768	4.768	7.520	66.30	153.8	7.520	66.30	153.8
hll4_mpc_shuffle_stats	[57,717,266, 167,663,627]	[-42%, 68%]	4.768	4.768	0.390	4.760	11.69	7.520	66.30	153.8
hll7_stats	[84,484,568, 117,231,365]	[-16%, 17%]	0.006	0.006	9,010	12,565	12,795	9,010	12,565	12,795
hll7_shuffle_stats	[84,484,568, 117,231,365]	[-16%, 17%]	0.006	0.006	139.3	551.0	1,199	9,010	12,565	12,795
hll7_rehashed_stats	[84,484,568, 117,231,365]	[-16%, 17%]	9.426	84.36	0.000	0.000	0.000	9,010	12,565	12,795
hll7_mask_stats	[9,431,902, 200,018,431]	[-91%, 100%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_stats	[84,484,568, 117,231,365]	[-16%, 17%]	37.43	37.43	60.65	534.6	1,246	60.65	534.6	1,246
hll7_mpc_shuffle_stats	[84,484,568, 117,231,365]	[-16%, 17%]	37.43	37.43	0.390	4.770	11.83	60.65	534.6	1,246
hll15_stats	[99,097,598, 101,037,154]	[-1%, 1%]	1.362	1.362	2,301,725	3,202,084	3,259,256	2,301,725	3,202,084	3,259,256
hll15_shuffle_stats	[99,097,598, 101,037,154]	[-1%, 1%]	1.362	1.362	140.4	565.0	1,265	2,301,725	3,202,084	3,259,256
hll15_rehashed_stats	[99,097,598, 101,037,154]	[-1%, 1%]	10.96	85.89	0.000	0.000	0.000	2,301,725	3,202,084	3,259,256
hll15_mask_stats	[9,431,902, 200,018,431]	[-91%, 100%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
all_stats	[100,000,000, 100,000,000]	[0%, 0%]	10.12	10.12	199,999,801	199,999,801	199,999,801	199,999,801	199,999,801	199,999,801
all_rehashed_stats	[100,000,000, 100,000,000]	[0%, 0%]	11.56	23.31	0.000	0.000	0.000	199,999,801	199,999,801	199,999,801
